N,P,K,temperature,humidity,ph,rainfall,label
13,64,18,19,61,6,38.25,lentil
90,39,39,25,81,6,190.18,jute
31,59,23,25,66,7,50.36,lentil
81,46,40,23,79,6,186.62,jute
40,16,35,34,54,4,98.33,mango
12,142,203,31,82,5,64.74,grapes
40,4,31,27,93,5,152.66,coconut
19,120,195,18,81,5,73.56,grapes
33,75,21,33,68,6,62.3,blackgram
33,72,24,29,59,5,101.01,pigeonpeas
38,61,52,31,94,6,46.44,papaya
40,68,52,26,91,6,58.45,papaya
113,38,20,22,78,6,74.94,cotton
99,6,52,28,92,6,24.14,muskmelon
1,62,23,15,18,5,139.03,kidneybeans
89,35,37,23,80,6,205.68,rice
2,128,201,22,95,5,124.16,apple
19,7,9,27,91,6,101.14,orange
88,57,42,26,74,6,175.8,jute
57,57,51,39,91,6,105.88,papaya
106,42,17,22,82,6,66.48,cotton
39,139,200,41,80,5,69.11,grapes
23,23,30,32,47,4,90.65,mango
109,15,50,26,91,6,21.41,muskmelon
22,38,31,31,53,5,98.57,mango
113,94,52,26,76,6,116.63,banana
27,70,22,31,48,7,164.07,pigeonpeas
36,59,46,34,93,6,127.25,papaya
99,57,37,24,82,6,154.66,jute
120,23,28,25,51,6,196.27,coffee
19,51,15,29,89,6,49.4,mungbean
89,54,38,24,83,6,230.45,rice
40,24,25,28,50,5,95.89,mango
7,17,26,34,48,6,91.63,mango
2,129,201,22,94,5,122.14,apple
59,54,42,23,82,7,264.81,rice
14,67,25,25,60,7,49.37,lentil
32,138,197,9,80,5,69.44,grapes
22,72,86,18,15,6,88.08,chickpea
34,69,23,16,25,5,75.54,kidneybeans
72,35,40,26,79,6,243.25,rice
7,144,197,23,94,6,114.05,apple
28,57,20,19,20,5,95.3,kidneybeans
35,38,19,25,63,9,32.71,mothbeans
21,18,30,30,47,5,89.01,mango
28,75,16,28,64,7,70.05,blackgram
112,29,48,25,84,6,44.61,watermelon
8,45,16,28,84,7,44.06,mungbean
97,79,49,25,84,6,92.52,banana
6,31,25,31,47,6,94.17,mango
74,48,17,21,60,6,69.22,maize
80,16,46,25,81,6,48.48,watermelon
49,47,46,24,90,6,217.09,papaya
111,15,54,27,92,6,22.06,muskmelon
73,54,38,25,83,7,215.8,rice
9,59,15,29,89,6,58.87,mungbean
88,50,40,25,79,7,182.26,jute
27,21,30,35,52,5,91.23,mango
25,71,24,28,60,7,74.92,blackgram
75,59,38,20,79,6,208.73,rice
0,21,32,35,54,6,92.2,mango
86,6,46,29,90,6,21.08,muskmelon
35,145,195,22,94,6,110.98,apple
5,136,195,22,91,6,107.77,apple
76,36,22,24,56,6,89.19,maize
27,46,16,29,85,6,45.32,mungbean
43,66,79,19,15,7,74.59,chickpea
33,15,7,15,91,7,109.76,orange
63,50,52,28,93,6,115.82,papaya
88,52,39,23,88,6,154.66,jute
44,77,21,32,61,7,61.84,blackgram
2,61,21,15,18,5,138.88,kidneybeans
52,73,76,19,19,7,73.97,chickpea
20,19,35,34,50,6,98.01,mango
34,11,10,31,94,7,115.2,orange
107,51,22,24,78,5,79.57,cotton
59,47,53,32,91,6,47.27,papaya
30,65,82,20,15,7,76.78,chickpea
118,87,51,28,75,5,117.25,banana
33,6,25,25,91,5,144.6,coconut
101,20,48,24,82,6,57.06,watermelon
1,77,21,21,66,7,46.79,lentil
36,24,41,24,94,7,103.88,pomegranate
114,7,51,24,88,6,57.53,watermelon
39,64,53,23,91,6,208.34,papaya
51,73,79,17,18,7,93.25,chickpea
23,138,200,9,80,5,68.43,grapes
4,67,25,23,24,5,119.64,kidneybeans
35,138,200,21,90,5,103.68,apple
106,85,53,27,78,5,99.72,banana
68,70,51,25,92,6,53.33,papaya
21,6,41,24,89,7,107.2,pomegranate
78,50,41,24,85,6,157.21,jute
98,53,38,20,81,5,270.44,rice
15,9,11,11,94,7,108.83,orange
20,73,22,16,22,5,130.39,kidneybeans
12,43,18,26,56,8,35.14,mothbeans
22,64,82,19,17,6,87.51,chickpea
89,41,38,23,74,6,199.84,jute
83,29,52,25,87,6,46.05,watermelon
21,58,24,27,51,4,36.79,mothbeans
6,128,200,25,82,5,70.32,grapes
93,91,50,29,76,5,111.47,banana
100,80,52,27,76,6,111.11,banana
90,55,38,23,80,6,268.27,rice
18,23,44,23,89,6,105.65,pomegranate
98,56,14,24,72,6,70.45,maize
16,7,8,22,90,6,116.51,orange
19,72,14,36,56,7,133.18,pigeonpeas
110,49,17,25,80,7,86.21,cotton
85,37,39,24,81,6,225.61,rice
91,21,50,24,81,6,48.32,watermelon
38,121,197,17,82,6,72.8,grapes
25,68,77,20,15,7,85.75,chickpea
94,86,52,28,79,6,94.8,banana
80,41,46,25,80,6,174.99,jute
7,79,23,19,19,5,96.66,kidneybeans
99,55,16,24,73,6,70.16,maize
60,68,49,35,92,6,241.82,papaya
32,54,52,29,93,6,61.45,papaya
0,70,20,36,56,4,100.77,pigeonpeas
36,49,25,29,86,6,40.67,mungbean
21,61,15,25,67,6,39.8,lentil
8,59,22,20,38,4,137.6,pigeonpeas
6,47,18,29,80,6,40.17,mungbean
75,55,43,25,73,6,168.23,jute
89,56,42,26,73,7,177.1,jute
31,30,29,26,90,5,178.81,coconut
8,58,24,30,60,7,34.25,mothbeans
5,68,19,18,61,5,142.54,pigeonpeas
39,78,15,21,62,5,40.64,lentil
51,73,78,17,18,7,96.0,chickpea
96,13,55,29,94,6,21.14,muskmelon
55,77,22,31,62,7,64.78,blackgram
84,37,37,24,82,6,224.46,rice
98,36,21,22,71,6,67.12,maize
40,45,18,30,55,5,30.92,mothbeans
23,75,18,24,64,7,48.28,lentil
4,79,15,29,67,7,46.36,lentil
130,54,19,21,82,7,90.04,cotton
18,56,22,23,47,7,141.03,pigeonpeas
14,57,15,29,83,6,40.12,mungbean
118,88,52,28,82,5,98.75,banana
109,78,50,25,79,5,97.3,banana
39,16,27,35,52,4,91.55,mango
58,44,44,20,82,7,297.08,rice
58,70,84,20,16,6,74.66,chickpea
16,76,22,31,35,6,101.04,pigeonpeas
120,40,33,24,54,6,115.16,coffee
78,58,44,26,80,5,284.44,rice
20,50,16,29,89,6,47.87,mungbean
6,133,193,20,80,6,70.94,grapes
17,73,18,19,34,5,196.35,pigeonpeas
107,72,46,28,81,5,91.09,banana
25,132,198,22,90,5,100.12,apple
19,76,23,34,38,5,146.39,pigeonpeas
78,50,43,25,85,6,159.57,jute
76,56,39,24,89,6,197.12,jute
51,72,75,18,14,7,80.11,chickpea
21,67,18,19,50,5,181.35,pigeonpeas
35,57,24,27,42,8,71.76,mothbeans
50,46,52,31,90,6,54.02,papaya
27,74,20,24,59,5,91.96,pigeonpeas
81,17,50,26,88,6,58.8,watermelon
51,56,18,28,64,6,70.86,blackgram
75,56,20,24,73,6,80.35,maize
72,60,25,18,69,5,88.1,maize
19,19,26,31,51,5,89.53,mango
15,11,38,23,92,6,109.39,pomegranate
0,69,20,25,61,7,36.6,lentil
32,141,204,8,82,5,67.24,grapes
61,48,19,21,60,6,93.94,maize
5,13,37,22,89,5,103.32,pomegranate
13,64,20,19,63,6,37.55,lentil
37,18,30,27,99,6,159.69,coconut
6,66,15,34,30,6,159.26,pigeonpeas
64,46,43,25,83,5,209.79,rice
60,44,23,24,70,5,76.73,maize
35,125,195,37,80,6,65.24,grapes
5,76,17,20,60,6,192.96,pigeonpeas
14,17,35,31,47,4,91.47,mango
102,49,20,24,84,6,88.32,cotton
61,40,44,24,82,6,158.64,jute
38,19,31,34,49,5,90.65,mango
74,54,37,26,83,7,255.5,rice
14,48,18,29,84,6,54.18,mungbean
15,140,195,13,83,5,65.8,grapes
23,138,195,22,91,5,124.39,apple
35,72,14,20,63,7,52.75,lentil
113,33,34,26,62,6,153.48,coffee
34,43,23,27,43,3,42.98,mothbeans
25,76,24,15,24,5,135.33,kidneybeans
38,50,21,29,88,6,56.38,mungbean
105,95,51,27,83,5,103.0,banana
83,55,37,26,79,6,175.84,jute
84,9,52,28,92,6,30.1,muskmelon
86,43,41,23,86,6,177.16,jute
34,68,51,27,94,6,40.35,papaya
18,57,21,27,63,6,49.47,lentil
40,16,34,31,49,6,88.61,mango
80,44,33,26,80,6,220.07,rice
13,72,21,24,21,5,60.28,kidneybeans
13,17,45,21,92,7,106.28,pomegranate
77,52,17,24,65,5,75.82,maize
17,11,32,28,93,5,156.77,coconut
14,23,22,26,96,5,134.21,coconut
59,62,49,43,93,6,114.78,papaya
77,34,44,26,84,7,185.93,rice
30,25,31,26,98,5,208.12,coconut
5,55,18,33,45,7,126.67,pigeonpeas
95,38,22,19,61,5,100.77,maize
38,60,76,18,17,8,77.52,chickpea
47,80,76,17,16,7,72.79,chickpea
77,51,18,24,65,5,76.9,maize
18,23,8,21,93,6,101.48,orange
30,60,21,28,62,5,182.27,pigeonpeas
1,12,29,27,95,5,130.15,coconut
62,58,47,26,91,6,143.39,papaya
1,74,17,28,52,6,147.47,pigeonpeas
12,74,17,21,69,6,45.86,lentil
84,17,46,27,93,6,25.32,muskmelon
17,136,196,23,90,5,103.05,apple
62,56,35,25,81,6,161.68,jute
31,28,25,28,47,5,97.47,mango
4,61,21,24,60,6,48.78,lentil
40,60,21,20,65,6,42.19,lentil
30,18,31,32,53,6,92.87,mango
44,57,53,42,90,6,74.88,papaya
3,56,24,24,44,5,189.94,pigeonpeas
82,58,47,25,83,5,246.12,rice
75,56,44,25,73,6,167.76,jute
76,34,36,27,80,6,193.83,rice
28,144,203,19,82,6,67.67,grapes
91,53,39,26,81,5,263.53,rice
6,63,23,26,49,5,160.33,pigeonpeas
49,76,18,27,67,7,60.47,blackgram
80,41,37,22,83,7,202.16,rice
93,53,38,26,81,7,290.68,rice
29,129,198,21,93,5,120.34,apple
12,66,23,25,61,7,49.7,lentil
40,72,77,17,16,7,88.55,chickpea
4,17,30,36,48,4,98.61,mango
97,59,43,26,84,6,271.36,rice
93,55,33,24,81,6,186.02,rice
23,62,85,18,19,8,80.71,chickpea
102,47,18,23,76,7,90.3,cotton
40,64,47,32,93,6,71.74,papaya
99,6,46,28,94,6,28.99,muskmelon
36,44,21,25,51,4,38.49,mothbeans
38,61,24,32,67,7,65.55,blackgram
24,66,21,17,66,6,49.83,lentil
16,17,26,28,91,5,145.54,coconut
34,134,204,9,83,5,66.51,grapes
91,49,41,20,84,6,230.44,rice
22,60,24,18,20,5,104.26,kidneybeans
103,42,17,24,84,6,81.06,cotton
31,25,12,18,90,7,111.78,orange
36,27,26,26,96,6,172.6,coconut
91,84,52,29,78,6,117.54,banana
36,71,14,26,68,7,46.18,lentil
20,77,21,34,39,5,147.18,pigeonpeas
3,58,21,25,46,9,55.61,mothbeans
72,41,36,24,80,6,176.86,jute
76,59,37,19,79,6,210.31,rice
27,75,21,24,50,5,113.42,pigeonpeas
8,16,35,23,92,5,108.01,pomegranate
15,45,23,24,61,7,46.02,mothbeans
67,41,40,25,87,7,152.62,jute
40,121,199,26,81,6,66.06,grapes
91,56,37,23,80,6,269.5,rice
27,61,77,18,13,6,69.54,chickpea
100,81,52,27,77,6,110.07,banana
36,43,21,25,52,4,38.55,mothbeans
1,55,25,28,43,4,44.38,mothbeans
36,5,11,26,91,7,104.08,orange
39,127,202,15,81,6,71.6,grapes
30,55,21,22,21,5,108.13,kidneybeans
70,66,51,30,92,6,76.59,papaya
37,55,79,19,18,8,77.82,chickpea
100,91,43,28,80,5,98.88,banana
26,121,201,22,90,6,112.31,apple
6,64,23,23,67,7,36.19,lentil
20,44,18,27,87,7,51.91,mungbean
42,79,78,19,19,7,79.83,chickpea
93,50,41,20,83,6,230.8,rice
11,27,26,29,45,5,96.24,mango
23,75,25,31,47,7,91.31,pigeonpeas
38,144,202,36,81,5,72.38,grapes
118,86,53,25,83,5,116.68,banana
27,61,19,33,68,5,109.24,pigeonpeas
94,38,36,23,83,5,283.78,rice
17,14,33,26,99,5,216.75,coconut
76,54,35,26,85,7,256.78,rice
98,19,35,27,54,6,129.98,coffee
110,20,54,24,89,6,58.8,watermelon
30,28,30,31,52,5,98.47,mango
105,73,43,25,81,6,117.95,banana
16,35,31,32,50,5,95.99,mango
23,5,44,21,94,7,107.57,pomegranate
23,63,20,19,55,4,194.99,pigeonpeas
9,75,17,18,68,7,39.01,lentil
107,34,32,26,66,6,177.77,coffee
98,43,18,25,74,6,107.22,maize
1,66,22,19,56,4,172.77,pigeonpeas
106,21,26,26,55,7,144.95,coffee
77,38,25,24,55,6,63.87,maize
44,74,85,20,19,7,78.26,chickpea
131,60,17,25,81,7,83.47,cotton
7,54,17,28,80,7,37.31,mungbean
34,34,35,27,47,6,95.26,mango
59,58,16,28,65,7,62.55,blackgram
26,21,27,35,51,5,90.34,mango
19,78,19,20,67,6,43.83,lentil
50,59,47,40,92,6,209.87,papaya
81,45,35,26,81,6,219.05,rice
7,31,27,31,47,6,94.67,mango
38,135,203,23,93,5,100.83,apple
68,57,43,26,80,5,182.9,rice
96,86,51,29,76,6,92.0,banana
31,37,21,27,86,6,37.31,mungbean
35,54,23,30,52,8,55.06,mothbeans
23,38,23,24,58,8,36.5,mothbeans
25,27,41,19,94,6,108.04,pomegranate
77,51,44,23,82,7,166.22,jute
85,36,38,24,82,6,222.28,rice
78,40,38,26,83,7,248.23,rice
106,69,55,25,78,5,115.63,banana
92,5,53,25,88,6,42.44,watermelon
130,59,19,25,82,6,93.51,cotton
33,55,17,33,35,4,138.07,pigeonpeas
59,36,38,26,83,6,162.03,jute
2,60,20,25,40,4,100.59,pigeonpeas
39,70,15,20,63,6,47.93,lentil
35,20,32,27,50,4,94.38,mango
14,139,197,21,92,6,121.7,apple
20,59,79,18,14,6,92.57,chickpea
26,70,22,31,48,7,166.6,pigeonpeas
30,78,74,18,16,8,90.66,chickpea
26,72,19,24,60,5,92.69,pigeonpeas
120,7,47,24,83,6,54.77,watermelon
112,87,48,27,77,6,99.47,banana
101,25,52,29,94,6,22.92,muskmelon
107,88,55,26,83,5,113.15,banana
60,58,37,26,79,6,171.49,jute
88,58,35,23,81,6,166.91,jute
74,42,41,26,78,6,154.26,jute
18,15,30,31,44,5,93.6,mango
117,85,51,25,83,5,116.0,banana
67,42,19,19,69,6,80.64,maize
85,78,46,27,82,5,99.08,banana
19,29,25,27,52,4,96.22,mango
26,37,30,35,49,6,97.41,mango
97,85,49,29,77,6,91.37,banana
2,38,18,27,89,6,45.49,mungbean
20,60,78,18,14,6,90.78,chickpea
87,53,44,25,84,6,233.98,rice
33,14,35,27,96,6,149.24,coconut
52,51,53,38,93,6,210.27,papaya
9,59,25,30,60,7,35.37,mothbeans
96,17,50,25,84,6,41.53,watermelon
51,57,55,24,90,6,108.41,papaya
83,39,43,25,87,7,168.73,jute
82,40,40,23,84,6,298.56,rice
20,18,29,30,48,5,90.35,mango
88,55,37,24,83,6,231.13,rice
59,70,84,17,18,7,82.62,chickpea
72,46,40,20,81,7,192.53,rice
10,72,22,29,45,6,173.36,pigeonpeas
23,65,20,23,22,5,108.37,kidneybeans
5,32,33,32,52,5,93.37,mango
78,57,21,25,74,6,79.55,maize
36,54,46,42,94,6,214.41,papaya
100,50,13,18,70,5,88.12,maize
87,45,40,22,83,6,194.55,rice
27,47,15,25,55,9,38.82,mothbeans
114,25,47,27,93,6,25.1,muskmelon
29,126,203,22,92,6,100.86,apple
1,17,6,10,91,6,117.53,orange
79,40,37,22,83,7,200.62,rice
101,45,15,23,77,7,75.14,cotton
21,73,13,29,67,6,152.3,pigeonpeas
74,39,38,23,84,7,233.05,rice
27,62,16,33,67,5,109.72,pigeonpeas
52,73,79,17,18,7,94.0,chickpea
36,57,16,28,57,8,57.03,mothbeans
27,62,24,28,66,7,62.27,blackgram
4,6,7,23,91,6,112.67,orange
119,90,48,28,79,5,118.26,banana
37,79,19,27,69,7,69.41,blackgram
20,69,15,23,22,5,107.41,kidneybeans
83,58,45,25,83,5,245.66,rice
12,70,24,21,22,5,142.23,kidneybeans
39,25,36,18,94,5,107.61,pomegranate
88,46,42,22,83,6,194.27,rice
74,43,23,25,61,6,99.58,maize
129,60,22,24,79,5,71.95,cotton
13,28,33,28,95,5,151.08,coconut
0,134,203,22,92,5,110.75,apple
40,64,15,16,24,5,140.09,kidneybeans
101,69,48,25,74,6,117.02,banana
7,64,21,23,67,7,36.08,lentil
70,46,40,20,81,7,190.89,rice
13,27,33,28,95,5,151.43,coconut
6,125,204,27,82,5,69.92,grapes
85,21,47,29,90,6,25.43,muskmelon
113,15,29,27,63,6,190.24,coffee
12,32,24,35,52,5,101.64,mango
16,70,20,24,40,5,121.56,pigeonpeas
25,143,198,22,91,6,107.86,apple
93,46,37,21,82,6,296.42,rice
13,23,6,23,90,7,102.7,orange
101,10,46,28,92,6,26.39,muskmelon
63,47,20,21,60,6,96.08,maize
37,137,199,22,90,5,108.34,apple
91,74,54,27,77,6,108.04,banana
65,38,44,23,71,6,183.96,jute
35,64,15,28,63,6,69.53,blackgram
25,33,32,30,49,6,89.71,mango
6,36,22,24,59,8,42.25,mothbeans
107,43,18,22,81,6,64.99,cotton
17,30,27,29,90,5,205.57,coconut
89,23,54,26,82,6,46.7,watermelon
29,138,197,22,92,5,121.66,apple
44,46,44,38,95,6,217.96,papaya
18,125,204,22,94,6,116.74,apple
91,60,24,18,71,5,69.96,maize
85,27,45,26,88,6,57.8,watermelon
3,75,22,23,61,6,52.82,lentil
69,50,53,37,90,6,172.99,papaya
92,44,14,18,65,6,96.09,maize
32,13,37,22,88,6,103.72,pomegranate
34,70,16,30,66,6,197.54,pigeonpeas
131,46,21,24,75,6,89.56,cotton
117,34,25,24,56,7,124.41,coffee
67,59,35,24,78,7,162.72,jute
8,121,195,23,82,6,71.05,grapes
1,20,37,24,90,6,180.29,coconut
110,21,54,26,87,6,47.46,watermelon
39,137,204,21,83,6,75.13,grapes
16,65,19,27,69,7,42.72,lentil
16,73,19,18,34,4,163.27,pigeonpeas
89,47,36,25,72,5,151.77,jute
18,12,8,12,91,6,119.39,orange
40,51,17,28,85,6,50.07,mungbean
106,91,52,27,83,6,106.76,banana
11,20,9,24,93,6,110.47,orange
116,23,25,23,52,6,139.37,coffee
9,5,5,21,91,7,112.98,orange
28,8,7,34,92,6,113.98,orange
4,14,41,19,89,6,102.82,pomegranate
61,52,41,24,83,6,204.8,rice
91,21,26,26,57,7,191.65,coffee
4,65,15,21,17,5,109.02,kidneybeans
45,47,55,38,91,6,118.48,papaya
119,25,51,26,80,6,53.66,watermelon
58,67,45,38,91,6,62.62,papaya
0,65,14,23,22,5,94.54,kidneybeans
100,53,19,23,81,7,93.46,cotton
5,68,20,19,33,6,155.37,pigeonpeas
60,46,53,24,92,6,183.49,papaya
31,55,24,31,35,5,173.55,pigeonpeas
31,144,202,11,80,5,68.24,grapes
114,48,16,25,83,7,90.71,cotton
30,79,22,18,69,6,48.6,lentil
49,70,75,18,15,7,79.5,chickpea
99,33,35,25,71,6,188.14,jute
21,17,15,23,91,7,118.49,orange
16,55,19,19,46,6,193.59,pigeonpeas
37,70,17,26,68,7,45.75,lentil
74,46,45,25,88,6,189.43,jute
86,40,38,25,87,6,177.25,jute
27,65,18,20,23,5,73.36,kidneybeans
17,136,195,41,81,6,65.9,grapes
5,65,19,18,68,6,48.8,lentil
21,60,25,18,19,5,104.66,kidneybeans
20,44,17,27,87,7,49.91,mungbean
36,55,81,19,17,8,79.93,chickpea
19,15,35,26,99,5,215.2,coconut
35,80,25,28,44,4,197.11,pigeonpeas
90,40,39,25,81,6,191.96,jute
130,56,19,21,82,7,92.63,cotton
33,143,204,21,91,5,122.54,apple
75,57,17,18,74,6,95.64,maize
91,81,49,27,76,6,101.02,banana
28,30,34,25,95,5,165.57,coconut
107,31,31,23,52,6,153.12,coffee
82,58,45,25,83,5,244.35,rice
107,44,24,23,83,7,71.23,cotton
24,58,17,24,58,5,60.0,mothbeans
96,45,35,23,81,7,225.08,rice
18,15,33,26,99,5,213.95,coconut
16,64,16,18,62,6,49.51,lentil
5,54,18,33,46,7,127.06,pigeonpeas
32,71,85,20,14,6,92.07,chickpea
91,35,39,23,80,6,206.26,rice
3,60,19,25,40,4,100.78,pigeonpeas
27,48,15,25,55,9,40.52,mothbeans
114,8,50,24,88,6,57.96,watermelon
59,46,21,24,65,6,88.12,maize
8,139,197,29,81,6,66.58,grapes
103,51,20,22,84,7,91.64,cotton
62,48,36,24,82,7,167.68,jute
32,43,22,31,54,5,71.63,mothbeans
7,67,20,30,33,5,158.76,pigeonpeas
34,80,19,31,63,6,71.48,blackgram
63,43,42,24,83,5,257.16,rice
34,58,19,29,63,5,89.37,pigeonpeas
91,52,25,25,68,6,102.82,maize
64,59,37,22,83,6,232.57,rice
109,21,55,24,89,6,56.44,watermelon
58,71,15,27,67,6,73.61,blackgram
50,72,76,18,14,7,81.35,chickpea
25,80,17,19,23,5,104.01,kidneybeans
17,11,35,26,96,6,131.08,coconut
97,56,38,24,82,6,155.11,jute
11,129,205,22,91,6,118.68,apple
98,26,52,27,90,6,28.69,muskmelon
8,139,199,29,81,6,66.13,grapes
83,94,46,27,80,6,112.7,banana
2,73,16,26,60,7,50.58,lentil
31,13,33,29,95,6,148.3,coconut
7,144,199,21,90,5,104.94,apple
18,17,32,31,45,5,92.56,mango
39,29,29,26,93,6,201.33,coconut
43,67,77,19,16,7,78.75,chickpea
35,30,34,28,95,6,182.45,coconut
28,123,199,23,91,5,110.2,apple
47,79,78,17,14,6,65.11,chickpea
73,43,42,26,78,6,154.82,jute
95,74,50,25,80,6,110.1,banana
80,50,19,18,61,5,104.94,maize
17,64,15,18,62,6,51.28,lentil
18,14,11,28,90,6,117.13,orange
66,53,20,25,59,5,72.01,maize
30,75,25,30,42,6,149.3,pigeonpeas
9,59,24,20,39,4,137.23,pigeonpeas
11,68,16,17,20,5,112.11,kidneybeans
76,60,39,20,80,6,208.58,rice
40,136,202,22,94,5,117.53,apple
19,63,26,18,18,5,144.23,kidneybeans
33,77,15,23,66,7,40.5,lentil
107,88,53,29,77,5,98.32,banana
78,45,22,23,59,5,88.34,maize
17,136,194,41,81,6,66.79,grapes
19,22,9,32,89,6,107.85,orange
92,44,16,18,65,6,94.76,maize
0,133,200,23,90,5,104.23,apple
67,58,40,25,80,5,221.72,rice
22,60,24,18,19,5,103.79,kidneybeans
57,56,78,17,18,8,67.95,chickpea
48,61,21,30,61,6,65.63,blackgram
34,126,204,19,80,6,73.05,grapes
28,35,28,28,54,6,89.46,mango
25,71,22,28,38,4,90.35,pigeonpeas
27,10,33,27,97,6,154.06,coconut
31,136,197,31,83,5,71.43,grapes
29,35,28,28,53,6,91.4,mango
78,36,20,25,63,6,75.14,maize
5,60,22,20,19,5,119.94,kidneybeans
26,27,10,28,92,6,114.13,orange
34,64,47,23,93,6,192.36,papaya
